Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Year
One Brooklyn Health System,NY,Healthcare Provider,500,18/01/2023,Hacking/IT Incident,Network Server,No,2023
Health Plan of San Mateo,CA,Health Plan,4032,18/01/2023,Hacking/IT Incident,Network Server,Yes,2023
"mscripts®, LLC ",CA,Business Associate,66372,17/01/2023,Unauthorized Access/Disclosure,Network Server,Yes,2023
University of Colorado Hospital Authority,CO,Healthcare Provider,48879,17/01/2023,Hacking/IT Incident,Network Server,Yes,2023
"Community Health Network, Inc.",IN,Business Associate,1237,13/01/2023,Unauthorized Access/Disclosure,"Network Server, Other",Yes,2023
1st Franklin Financial Corporation Master Welfare Benefit Plan,GA,Health Plan,3039,13/01/2023,Hacking/IT Incident,Email,No,2023
Intelligent Business Solutions ,NC,Business Associate,500,13/01/2023,Hacking/IT Incident,Network Server,Yes,2023
Jefferson County Health Center d/b/a Jefferson County Health Department,MO,Healthcare Provider,115940,13/01/2023,Hacking/IT Incident,Network Server,No,2023
"DPP II, LLC",TX,Healthcare Provider,125981,12/01/2023,Hacking/IT Incident,Network Server,No,2023
Dr. Keith Rundle & Dr. Herman Rundle,CA,Healthcare Provider,7528,12/01/2023,Hacking/IT Incident,Network Server,No,2023
UCLA Health,CA,Healthcare Provider,94000,12/01/2023,Unauthorized Access/Disclosure,Network Server,No,2023
Minnesota Department of Human Services,MN,Health Plan,4307,11/01/2023,Unauthorized Access/Disclosure,Email,No,2023
"Community Psychiatry Management, LLC, dba Mindpath Health",NC,Healthcare Provider,193947,10/01/2023,Hacking/IT Incident,Email,No,2023
1020 South Main Street Operations LLC,PA,Healthcare Provider,702,10/01/2023,Hacking/IT Incident,Network Server,Yes,2023
225 Evergreen Road Operations LLC,PA,Healthcare Provider,931,10/01/2023,Hacking/IT Incident,Network Server,No,2023
Macoby Street Operations LLC d/b/a Pennsburg Manor,PA,Healthcare Provider,1547,10/01/2023,Hacking/IT Incident,Network Server,Yes,2023
"BayCare Clinic, LLP",WI,Healthcare Provider,134000,06/01/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,2023
"Vascular Institute of Houston, PLLC",TX,Healthcare Provider,1195,05/01/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,2023
"Vascular Institute of North Texas, PLLC ",TX,Healthcare Provider,5853,05/01/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,2023
Pershing Health System,MO,Healthcare Provider,5368,05/01/2023,Hacking/IT Incident,Email,No,2023
Insulet Corporation,MA,Healthcare Provider,29000,05/01/2023,Unauthorized Access/Disclosure,Network Server,No,2023
Texas Orthopaedic & Sports Medicine,TX,Healthcare Provider,1064,05/01/2023,Hacking/IT Incident,"Electronic Medical Record, Laptop",No,2023
Lantern Hill Retirement Community,NJ,Healthcare Provider,528,05/01/2023,Unauthorized Access/Disclosure,Network Server,No,2023
Live Oak Surgery Center,TX,Healthcare Provider,5264,03/01/2023,Hacking/IT Incident,Email,No,2023
Barclay Damon LLP,NY,Business Associate,1039,03/01/2023,Hacking/IT Incident,Email,Yes,2023
"Circles of Care, Inc. ",FL,Healthcare Provider,61170,03/01/2023,Hacking/IT Incident,Network Server,No,2023
"Bay Bridge Administrators, LLC",TX,Business Associate,187742,30/12/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
Fitzgibbon Hospital,MO,Healthcare Provider,112072,30/12/2022,Unauthorized Access/Disclosure,Network Server,No,2022
NR Florida Associates LLC,FL,Healthcare Provider,6250,30/12/2022,Hacking/IT Incident,Network Server,No,2022
The Kelberman Center ,NY,Healthcare Provider,3501,30/12/2022,Hacking/IT Incident,Email,No,2022
"L. Knife & Son, Inc. Employee Benefits Plan",MA,Health Plan,4082,30/12/2022,Hacking/IT Incident,Network Server,No,2022
MJ Care,WI,Business Associate,1832,29/12/2022,Hacking/IT Incident,Email,Yes,2022
"Verisma Systems, Inc.",VA,Business Associate,1031,29/12/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"Verisma Systems, Inc.",VA,Business Associate,1586,29/12/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"Bosselman Energy, Inc. Employee Health Benefits Plan",NE,Health Plan,735,29/12/2022,Hacking/IT Incident,Network Server,No,2022
CellNetix Pathology & Laboratories,WA,Healthcare Provider,1969,28/12/2022,Hacking/IT Incident,Email,No,2022
Aetna ACE,CT,Health Plan,4222,27/12/2022,Hacking/IT Incident,Email,No,2022
Quality Behavioral Health,WA,Healthcare Provider,3498,26/12/2022,Hacking/IT Incident,Network Server,No,2022
"Cedar Cares, Inc. f/k/a Careportal",NY,Business Associate,1205,23/12/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
"Midwest Orthopaedic Consultants, S.C.",IL,Healthcare Provider,6818,22/12/2022,Hacking/IT Incident,Network Server,No,2022
Legacy Operating Company d/b/a Legacy Hospice,AL,Healthcare Provider,21202,22/12/2022,Hacking/IT Incident,Email,No,2022
"Southwest Louisiana Health Care System, Inc. d/b/a Lake Charles Memorial Health System",LA,Healthcare Provider,269752,22/12/2022,Hacking/IT Incident,Network Server,No,2022
University of Miami ,FL,Healthcare Provider,973,22/12/2022,Unauthorized Access/Disclosure,Email,No,2022
"Sequoia Benefits and Insurance Services, LLC, d/b/a Sequoia Consulting Group",CA,Business Associate,4265,20/12/2022,Hacking/IT Incident,Other,Yes,2022
Bay City Health & Rehabilitation Center ,TX,Healthcare Provider,2000,20/12/2022,Hacking/IT Incident,Network Server,No,2022
Louis A. Johnson Veterans' Administration Medical Center,WV,Healthcare Provider,736,20/12/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
Prairie Lakes Healthcare System,SD,Healthcare Provider,1060,20/12/2022,Hacking/IT Incident,Network Server,Yes,2022
Three Rivers Provider Network,CA,Business Associate,4596,19/12/2022,Unauthorized Access/Disclosure,Email,Yes,2022
MITCON,MI,Business Associate,1131,19/12/2022,Hacking/IT Incident,Network Server,Yes,2022
Metropolitan Area EMS Authority dba MedStar Mobile Healthcare,TX,Healthcare Provider,612000,19/12/2022,Hacking/IT Incident,Network Server,No,2022
Hawaiian Eye Center,HI,Healthcare Provider,14524,19/12/2022,Hacking/IT Incident,Network Server,No,2022
Monarch,NC,Healthcare Provider,56155,16/12/2022,Hacking/IT Incident,Network Server,No,2022
"Foundcare, Inc.",FL,Healthcare Provider,14194,16/12/2022,Hacking/IT Incident,Email,No,2022
"AAA Collections, Inc.",SD,Business Associate,4635,15/12/2022,Hacking/IT Incident,Network Server,Yes,2022
The Elizabeth Hospice ,CA,Healthcare Provider,35496,14/12/2022,Unauthorized Access/Disclosure,Email,No,2022
Ola Equipment LLC,HI,Business Associate,39000,14/12/2022,Theft,"Desktop Computer, Electronic Medical Record, Laptop, Network Server, Other Portable Electronic Device, Paper/Films",Yes,2022
Avem Health Partners,OK,Business Associate,271303,13/12/2022,Hacking/IT Incident,Other,Yes,2022
"Robert S Miller, LICSW, ACSW, PLLC",WA,Healthcare Provider,902,13/12/2022,Hacking/IT Incident,Laptop,No,2022
Sleep Center Hawaii,HI,Healthcare Provider,5396,12/12/2022,Hacking/IT Incident,Email,No,2022
KEMET Electronics Medical/Dental/EAP,FL,Health Plan,2927,09/12/2022,Hacking/IT Incident,Network Server,No,2022
"Teter Orthotics & Prosthetics, Inc. ",TX,Healthcare Provider,1354,09/12/2022,Hacking/IT Incident,Email,No,2022
"Pediatrics West, P.C.",MA,Healthcare Provider,1364,09/12/2022,Hacking/IT Incident,Network Server,No,2022
San Gorgonio Memorial Hospital,CA,Healthcare Provider,16846,08/12/2022,Hacking/IT Incident,Network Server,No,2022
Rhode Island Department of Health,RI,Healthcare Provider,8800,07/12/2022,Unauthorized Access/Disclosure,Email,Yes,2022
Blakehurst,MD,Healthcare Provider,1047,06/12/2022,Hacking/IT Incident,Email,No,2022
Emory Healthcare,GA,Healthcare Provider,1891,06/12/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
"Employee Group Insurance Benefits Plan of Acuity Brands, Inc.",GA,Health Plan,20849,06/12/2022,Hacking/IT Incident,Network Server,No,2022
Polsinelli PC,MO,Business Associate,1220,02/12/2022,Hacking/IT Incident,Network Server,Yes,2022
NYC Health + Hospitals,NY,Healthcare Provider,2174,02/12/2022,Loss,Other Portable Electronic Device,No,2022
CommonSpirit Health,IL,Business Associate,623774,01/12/2022,Hacking/IT Incident,Network Server,Yes,2022
Easton Cardiovascular,PA,Business Associate,883,30/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"Peter J. Isaac, D.O.",PA,Business Associate,6390,30/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"Dr. Douglas C. Shoenberger,PC",PA,Business Associate,8179,30/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"MaryAnne Freeman Brndjar, DO, PC",PA,Business Associate,2491,30/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"Dermatology & Skin Cancer Ctr, PC",PA,Business Associate,5423,30/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"Ellen M. Field, M.D.",PA,Business Associate,4438,30/11/2022,Hacking/IT Incident,Network Server,Yes,2022
Pendurthi Surgical Associates,PA,Business Associate,7925,30/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"NU House Calls, PC",PA,Business Associate,552,30/11/2022,Hacking/IT Incident,Network Server,Yes,2022
Lehigh Valley Women's Specialties,PA,Business Associate,4535,30/11/2022,Hacking/IT Incident,Network Server,Yes,2022
Klamath County,OR,Healthcare Provider,547,29/11/2022,Unauthorized Access/Disclosure,Email,No,2022
Keck Medicine of USC,CA,Healthcare Provider,2200,29/11/2022,Hacking/IT Incident,Email,No,2022
Legacy Health,OR,Healthcare Provider,8065,23/11/2022,Theft,Other Portable Electronic Device,No,2022
Dallam Hartley Counties Hospital District,TX,Healthcare Provider,69835,23/11/2022,Hacking/IT Incident,Network Server,No,2022
Compton & Broomhead Dental Center,IN,Healthcare Provider,1307,23/11/2022,Hacking/IT Incident,Email,No,2022
Mena Regional Health System,AR,Healthcare Provider,84814,22/11/2022,Hacking/IT Incident,Network Server,No,2022
Hope Health Systems Inc.,MD,Healthcare Provider,9972,21/11/2022,Hacking/IT Incident,Electronic Medical Record,No,2022
Orlando Health,FL,Healthcare Provider,3662,18/11/2022,Hacking/IT Incident,Email,No,2022
Wright & Filippis LLC,MI,Healthcare Provider,877584,18/11/2022,Hacking/IT Incident,Network Server,No,2022
"Nuance Communications, Inc.",MA,Business Associate,4830,18/11/2022,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,2022
"Community Health Network, Inc. as an Affiliated Covered Entity",IN,Healthcare Provider,1500000,18/11/2022,Unauthorized Access/Disclosure,Network Server,No,2022
CareFirst Administrators,MD,Health Plan,14538,18/11/2022,Hacking/IT Incident,Email,Yes,2022
Gateway Rehabilitation Center,PA,Healthcare Provider,130000,18/11/2022,Hacking/IT Incident,Network Server,No,2022
University Medical Center of Southern Nevada,NV,Healthcare Provider,1861,17/11/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
"CONSUMER DIRECTED SERVICES IN TEXAS, INC.",TX,Healthcare Provider,56728,17/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc. ",CA,Health Plan,8556,17/11/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
"Innovative Service Technology Management Services, Inc. ",GA,Health Plan,2654,17/11/2022,Hacking/IT Incident,Network Server,No,2022
"Rosenfeld VanWirt, PC",PA,Business Associate,18719,16/11/2022,Hacking/IT Incident,Network Server,Yes,2022
South Walton Fire District,FL,Healthcare Provider,25331,15/11/2022,Hacking/IT Incident,Network Server,No,2022
Arkansas Department of Human Services,AR,Health Plan,925,15/11/2022,Unauthorized Access/Disclosure,Email,No,2022
Docs Medical Inc,CT,Healthcare Provider,3146,15/11/2022,Hacking/IT Incident,Network Server,No,2022
"CCA Health Plans of California, Inc d/b/a CCA Health CA",CA,Health Plan,14631,15/11/2022,Hacking/IT Incident,Network Server,No,2022
Yakima Neighborhood Health Services,WA,Healthcare Provider,2689,14/11/2022,Unauthorized Access/Disclosure,Email,No,2022
Epic Management LLC,TN,Healthcare Provider,10862,14/11/2022,Hacking/IT Incident,Email,No,2022
"Health Care Management Solutions, LLC",WV,Business Associate,500000,14/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"Dialpad, Inc.",CA,Business Associate,1682,14/11/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
Yale University,CT,Healthcare Provider,9051,11/11/2022,Hacking/IT Incident,Network Server,No,2022
NewYork-Presbyterian Hospital,NY,Healthcare Provider,12000,11/11/2022,Hacking/IT Incident,Laptop,No,2022
"Stanley Street Treatment and Resources, Inc. ",MA,Healthcare Provider,45785,11/11/2022,Hacking/IT Incident,Network Server,No,2022
"Connexin Software, Inc.",PA,Business Associate,2216365,11/11/2022,Hacking/IT Incident,Network Server,Yes,2022
Manassas Surgery Center Anesthesia Services,NY,Healthcare Provider,726,10/11/2022,Hacking/IT Incident,Network Server,No,2022
Work Health Solutions,CA,Healthcare Provider,13157,09/11/2022,Hacking/IT Incident,Email,No,2022
Doctors' Center Hospital,,Healthcare Provider,1195220,09/11/2022,Hacking/IT Incident,Network Server,No,2022
GATE Petroleum Company Employee Benefits Plan ,FL,Health Plan,4912,09/11/2022,Hacking/IT Incident,Network Server,No,2022
Heartland Alliance ,IL,Business Associate,46694,08/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"Eastside Pediatrics, PLLC",NY,Healthcare Provider,1723,08/11/2022,Hacking/IT Incident,Network Server,No,2022
Resource Anesthesiology Associates of PA PC,NY,Healthcare Provider,1372,07/11/2022,Hacking/IT Incident,Network Server,No,2022
Resource Anesthesiology Associates of CA PC,CA,Healthcare Provider,1308,07/11/2022,Hacking/IT Incident,Network Server,No,2022
"The Stern Cardiovascular Foundation, Inc.",TN,Healthcare Provider,501,05/11/2022,Hacking/IT Incident,Network Server,No,2022
"Titan Health Partners, LLC d/b/a Astera Cancer Care",NJ,Healthcare Provider,3848,04/11/2022,Hacking/IT Incident,Email,No,2022
OCEANVIEWS OPTICAL INC,FL,Healthcare Provider,2000,03/11/2022,Hacking/IT Incident,Network Server,No,2022
"Pinnacle Claims Management, Inc.",CA,Business Associate,2048,03/11/2022,Hacking/IT Incident,Network Server,Yes,2022
TIC International Corporation (“TIC”),IN,Business Associate,1362,01/11/2022,Hacking/IT Incident,Network Server,Yes,2022
"CorrectCare Integrated Health, Inc.",KY,Business Associate,4380,31/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"CorrectCare Integrated Health, Inc.",KY,Business Associate,438713,31/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
Alta Forest Products Health and Welfare Plan,WA,Health Plan,2100,31/10/2022,Hacking/IT Incident,Network Server,No,2022
"Heart of Florida Health Center, Inc.",FL,Healthcare Provider,721,31/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
Gateway Ambulatory Surgery Center,NC,Healthcare Provider,18479,31/10/2022,Hacking/IT Incident,Email,No,2022
"PrimeCare Medical, Inc. ",PA,Healthcare Provider,22254,31/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"Mediko, Inc.",VA,Healthcare Provider,2809,31/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
The Psychology Center,WI,Healthcare Provider,3614,31/10/2022,Unauthorized Access/Disclosure,Network Server,No,2022
Mohave County Adult Detention Facility,AZ,Healthcare Provider,558,31/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
Navajo County Sheriff's Office,AZ,Healthcare Provider,797,31/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
Louisiana Department of Public Safety and Corrections,LA,Healthcare Provider,85466,31/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York",NY,Health Plan,21544,31/10/2022,Hacking/IT Incident,Email,No,2022
St Luke's Health - Texas,TX,Healthcare Provider,16906,30/10/2022,Hacking/IT Incident,Email,Yes,2022
"Restorative Arts Physical Therapy, Inc. d/b/a Core Conditioning",CA,Healthcare Provider,727,28/10/2022,Hacking/IT Incident,Network Server,No,2022
"Native American Rehabilitation Association of the Northwest, Inc.",OR,Healthcare Provider,2915,28/10/2022,Hacking/IT Incident,Email,No,2022
OakBend Medical Center / OakBend Medical Group,TX,Healthcare Provider,500000,28/10/2022,Hacking/IT Incident,Email,No,2022
"Assurance Health System, LLC",IN,Healthcare Provider,3565,28/10/2022,Hacking/IT Incident,Email,No,2022
"SightCare, Inc.",AZ,Health Plan,637999,28/10/2022,Hacking/IT Incident,Network Server,Yes,2022
"Nationwide Optometry, PC",AZ,Healthcare Provider,73073,28/10/2022,Hacking/IT Incident,Network Server,Yes,2022
Sacramento County Adult Correctional Health,CA,Healthcare Provider,5372,27/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Services",NJ,Health Plan,3900,27/10/2022,Unauthorized Access/Disclosure,Email,No,2022
University of Michigan/Michigan Medicine,MI,Healthcare Provider,33857,25/10/2022,Hacking/IT Incident,Email,No,2022
Coastal Horizons Center Inc.,NC,Healthcare Provider,679,25/10/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
"Forest Hill Pediatrics, LLC",MD,Healthcare Provider,4958,25/10/2022,Hacking/IT Incident,Network Server,Yes,2022
Resource Anesthesiology Associates of NM Inc,NY,Healthcare Provider,7054,24/10/2022,Hacking/IT Incident,Network Server,No,2022
Resource Anesthesiology Associates of CT PC,NY,Healthcare Provider,5240,24/10/2022,Hacking/IT Incident,Network Server,No,2022
Resource Anesthesiology Associates of VA LLC,NY,Healthcare Provider,4209,24/10/2022,Hacking/IT Incident,Network Server,No,2022
"Somnia, Inc.",NY,Healthcare Provider,1326,24/10/2022,Hacking/IT Incident,Network Server,No,2022
Somnia Pain Mgt of Kentucky,NY,Healthcare Provider,10848,24/10/2022,Hacking/IT Incident,Network Server,No,2022
Resource Anesthesiology Associates of IN LLC,NY,Healthcare Provider,2136,24/10/2022,Hacking/IT Incident,Network Server,No,2022
Regions Hospital,MN,Healthcare Provider,978,24/10/2022,Hacking/IT Incident,Network Server,No,2022
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services ",IL,Health Plan,480435,21/10/2022,Hacking/IT Incident,Network Server,No,2022
Massengale Eye Care,OK,Healthcare Provider,15000,21/10/2022,Hacking/IT Incident,Network Server,Yes,2022
"Phoenix Programs of Florida, Inc.",FL,Healthcare Provider,6594,21/10/2022,Hacking/IT Incident,Email,No,2022
"Dr. Scott B. Klimaj, DMD",RI,Healthcare Provider,1558,21/10/2022,Hacking/IT Incident,Network Server,No,2022
"Wenco Management, LLC Health and Welfare Benefit Plan",OH,Health Plan,20526,20/10/2022,Hacking/IT Incident,Network Server,No,2022
"Pynenberg & Scheske DDS,SC ",WI,Healthcare Provider,2612,20/10/2022,Hacking/IT Incident,Network Server,No,2022
"Sigmund Software, LLC ",CT,Business Associate,983,20/10/2022,Hacking/IT Incident,Network Server,Yes,2022
Fontainebleau Development Health and Welfare Plan ,FL,Health Plan,1825,20/10/2022,Hacking/IT Incident,Network Server,No,2022
Lifeline Systems Company,MA,Healthcare Provider,500,16/10/2022,Hacking/IT Incident,Network Server,No,2022
"Friend Family Health Center, Inc.",IL,Healthcare Provider,1419,14/10/2022,Hacking/IT Incident,Email,No,2022
Tift Regional Health System,GA,Healthcare Provider,500,14/10/2022,Hacking/IT Incident,Network Server,No,2022
"Alain A. Montiel, DDS",CA,Healthcare Provider,17157,14/10/2022,Theft,Laptop,No,2022
Blue Cross and Blue Shield of Kansas,KS,Health Plan,1308,14/10/2022,Hacking/IT Incident,Network Server,No,2022
Presbyterian Healthcare Services,NM,Healthcare Provider,44450,14/10/2022,Hacking/IT Incident,Email,No,2022
WakeMed Health and Hospitals,NC,Healthcare Provider,495808,14/10/2022,Unauthorized Access/Disclosure,Network Server,No,2022
Springfield Clinic,IL,Healthcare Provider,802,14/10/2022,Loss,Other Portable Electronic Device,No,2022
"HH/Killeen Health System, LLC doing business as Seton Medical Center Harker Heights",TX,Healthcare Provider,15056,14/10/2022,Hacking/IT Incident,Email,Yes,2022
